Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Ford Foundation,Empower Schools,"3,100,000",2014,1 month,Not Specified,Education services,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For general support to promote expanded learning time to improve student achievement and enable a well-rounded education and to manage the TIME Collaborative and provide technical assistance to participants
Ford Foundation,Empower Schools,"3,100,000",2014,1 month,Beyond Current Program Structure,Elementary and secondary education,People of Asian descent; People of African descent; People of European descent; People of Latin American descent,Systems reform,Cash grants,General support to promote expanded learning time to improve student achievement and enable a well-rounded education & to manage the TIME Collaborative and provide technical assistance to participants
Michael & Susan Dell Foundation,Building Excellent Schools Inc,"1,800,000",2014,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For Charter School Incubation and Launch
The Salem Foundation,Year Up,"1,400,000",2014,1 year,Not Specified,Community and economic development,Young adults,Program support,Cash grants,Further young adults technical & professional skills
The Pershing Square Foundation,Year Up,"1,300,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,To build sales force to leverage technology
Levangie Family Charitable Foundation,Excel Academy Orient Heights,"1,100,000",2014,1 year,Not Specified,Charter school education,Preteens; Ethnic and racial groups; Immigrants; Low-income people; Students,General support,Cash grants,General support grant
Symantec Foundation,Year Up,"1,091,100",2014,1 year,Not Specified,Information and Communications,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Curriculum development,Cash grants,To create and rollout cyber security curriculum
One8 Foundation,Year Up,"1,000,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,For Youth development
The Edna McConnell Clark Foundation,Building Educated Leaders for Life Foundation,"1,000,000",2014,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Capacity-building and technical assistance; Program support,Cash grants,To support implementation of its FY 2015 - FY 2017 business plan
The JPMorgan Chase Foundation,Year Up,"1,000,000",2014,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For charitable program activities support
Unitarian Universalist Veatch Program at Shelter Rock,Unitarian Universalist Association,"900,000",2014,1 month,Unitarian Universalism,Justice rights,Christians,Not Specified,Cash grants,For UUA programs increasing denominational growth and furthering social justice
Barr Foundation,Boston Chinatown Neighborhood Center,"750,000",2014,1 month,Not Specified,Arts and culture,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,Building and renovations,Cash grants,For planning and build-out of Chinatown Neighborhood Arts and Cultural Center
