Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
One8 Foundation,Year Up,"3,000,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,For Youth development
Barr Foundation,"The Match School Foundation, Inc.","2,200,000",2016,5 months,Not Specified,Education,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,To support the implementation and evaluation of Match Beyond
"Rodman Ride for Kids, Inc.","Epiphany School, Inc.","2,055,862",2016,1 year,Not Specified,Benefits planning,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,To benefit disadvantaged youths in massachusetts
Remondi Family Foundation,Adopt-A-Student,"2,000,000",2016,1 year,Not Specified,Education,Students,Endowments,Cash grants,Adopt-a-student Endowment Fund
"Mass General Brigham, Inc.","Martha's Vineyard Hospital, Inc.","1,913,785",2016,1 year,Not Specified,Public affairs,Age Groups; Ethnic and racial groups; Social and economic status; Health,Program support,Cash grants,To support tax exempt affliliate
Gordon and Betty Moore Foundation,Smithsonian Astrophysical Observatory,"1,790,000",2016,3 months,Science\Projects,Astronomy,People of African descent,Not Specified,Cash grants,In support of critical new elements of the Event Horizon Telescope--a global network of radio dishes that forms an Earth-sized virtual telescope aimed at taking the first images of the event horizon of a supermassive black hole.
New Venture Fund,Center for Collaborative Education,"1,500,000",2016,1 year,Not Specified,Youth organizing,Adolescents; Students,Program support,Cash grants,YOUTH DEVELOPMENT AND EDUCATION
"Combined Jewish Philanthropies of Greater Boston, Inc.",Jewish Vocational Service,"1,381,094",2016,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Program support,Cash grants,Employment
"Beth Israel Deaconess Medical Center, Inc.",Fenway Sidney Borum Community Health Center,"1,260,128",2016,1 year,Not Specified,Health,Ethnic and racial groups; Low-income people,Research,Cash grants,Research- subaward
"Mass General Brigham, Inc.",Camp Harbor View Foundation Inc.,"1,200,000",2016,1 year,Not Specified,Camps,Adolescents; Low-income people,Program support,Cash grants,COMMUNITY BENEFIT PROGRAM
New York Life Foundation,Building Educated Leaders for Life Foundation,"1,180,000",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,HHS General
"Combined Jewish Philanthropies of Greater Boston, Inc.",Year Up,"1,137,100",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,DAF - Education
"National Urban League, Inc.",Urban League of Eastern Massachusetts,"1,113,353",2016,1 year,Not Specified,Human services,People of African descent,Program support,Cash grants,SEE PART IV
MASSACHUSETTS SERVICE ALLIANCE,Jumpstart for Young Children,"1,109,837",2016,1 year,Not Specified,Child welfare,Infants and toddlers,Program support,Cash grants,Support community service/volunteerism programs and projects
Barr Foundation,American Antiquarian Society,"1,100,000",2016,2 months,Not Specified,Arts and culture,People of African descent,Capital and infrastructure,Cash grants,"To support the Worcester Cultural Coalition with the fit out and operating expenses for the WOOteria, a black box theater and multipurpose art space"
"Rodman Ride for Kids, Inc.","Artists for Humanity, Inc.","1,082,478",2016,1 year,Not Specified,Benefits planning,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,To benefit disadvantaged youths in massachusetts
The Salem Foundation,Year Up,"1,015,000",2016,1 year,Not Specified,Job counseling,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Further young adults technical & professional skills that will empower them to reach their potential through professional careers and higher education
The Lynch Foundation,BOSTON TEN POINT COALITION INC,"1,005,000",2016,1 year,Not Specified,Youth organizing,Children and youth; People of African descent; People of Latin American descent; Low-income people,General support,Cash grants,General operating support
"Bank of America Charitable Foundation, Inc.",Camp Harbor View Foundation Inc.,"1,000,000",2016,1 year,Not Specified,Camps,Children and youth; Adolescents; Family relationships; Ethnic and racial groups; Economically disadvantaged people; Low-income people; At-risk youth,General support; Program support,Cash grants,Program/Operating Support
In His Steps Foundation,Building Educated Leaders for Life Foundation,"1,000,000",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Education
One8 Foundation,Friends of Excel Academy Inc,"1,000,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Students,Program support,Cash grants,Education
"State Street Foundation, Inc.",Year Up,"1,000,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Boston WINs
"State Street Foundation, Inc.",Bottom Line,"1,000,000",2016,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,To provide general operating support
The Edgerley Family Foundation,Year Up,"1,000,000",2016,1 year,Not Specified,Philanthropy,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Charitable
Wilson Sheehan Foundation,Year Up,"1,000,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Capital campaigns,Cash grants,Year up opportunity campaign iii
The JPMorgan Chase Foundation,Year Up,"953,678",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Program support,Cash grants,"In support of workforce readiness ($950,000), general operating support ($3,677.66)"
Holdeen Fund 47-10,Unitarian Universalist Association,"844,869",2016,1 year,Not Specified,Interfaith,Low-income people,General support,Cash grants,General support grant
"State Street Foundation, Inc.",National College Advising Corps,"825,000",2016,1 year,Not Specified,Youth services,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For Boston WINs
"Combined Jewish Philanthropies of Greater Boston, Inc.",Jumpstart for Young Children,"803,875",2016,1 year,Not Specified,Child welfare,Infants and toddlers; Non-adult children,Program support,Cash grants,DAF - Child Welfare
Ford Foundation,The Schott Foundation for Public Education,"800,000",2016,2 months,Beyond Current Program Structure,Elementary and secondary education,People of Asian descent; People of African descent; People of Latin American descent,Equal access; Recordings,Cash grants,"For the Healthy Living project to help shape communities to become just and fair, and final support for a series of national dialogues to promote two documentary films advocating for educational equity"
Norman R. Rales and Ruth Rales Foundation,Building Educated Leaders for Life Foundation,"775,375",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Educational support
"Charter Fund, Inc.",Brooke Schools Foundation,"750,000",2016,1 year,Not Specified,Charter school education,Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Implementation
ECMC Foundation,Year Up,"750,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Career readiness
The Bezalel Foundation,Teach Plus,"750,000",2016,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,General support,Cash grants,General support
The Boston Foundation,Boston Plan for Excellence (BPE),"750,000",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Adults; Ethnic and racial groups; Low-income people; At-risk youth; Students,Systems reform,Cash grants,Not Specified
W.K. Kellogg Foundation,Community Labor United,"750,000",2016,3 months,Not Specified,Organized labor,Children and youth; Women and girls; Single parents; Ethnic and racial groups; Low-income people,Network-building and collaboration; Systems reform; Program support,Cash grants,"To advance worker rights through campaigns to stop wage theft, promote employer accountability and build the power of working single mothers through an innovative model of community/labor partnership and strategic emphases on base building, power sharing and concrete systemic change"
Yawkey Foundation II,Dimock Community Foundation Inc,"750,000",2016,1 year,Not Specified,Urgent care,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance; Building and renovations,Cash grants,For Capacity building and renovation project for Acute Care Treatment Program
GE Foundation,Massachusetts League of Community Health Centers,"730,477",2016,1 year,Not Specified,Community health care,Children and youth,Not Specified,Cash grants,Not Specified
The Andrew W. Mellon Foundation,Brandeis University,"725,000",2016,2 months,Scholarly Communications,Historic preservation,People of African descent; Academics,Technical assistance; Network-building and collaboration,Cash grants,To support the development of new technical infrastructure and an academic advisory board for a collection of video oral histories of African Americans
"Beth Israel Deaconess Medical Center, Inc.",Fenway Sidney Borum Community Health Center,"709,000",2016,1 year,Not Specified,Health care clinics,Low-income people,Program support,Cash grants,Primary care/ healthcare access
Deerbrook Charitable Trust,"The B.E.L.L. Foundation, Inc.","700,000",2016,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General exempt purpose
Barr Foundation,Grub Street Inc.,"675,000",2016,3 months,Not Specified,Arts and culture,Economically disadvantaged people,Public engagement and education; Program expansion,Cash grants,"To engage new, more diverse writing students and develop new income streams"
"Stadler Family Charitable Foundation, Inc.",Jumpstart for Young Children,"675,000",2016,1 year,Not Specified,Early childhood education,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
The Lynch Foundation,"Artists for Humanity, Inc.","675,000",2016,1 year,Not Specified,Humanities,Adolescents; Ethnic and racial groups; Low-income people,Capital campaigns,Cash grants,Capital campaign
"Beth Israel Deaconess Medical Center, Inc.",Dimock Community Health Center,"670,436",2016,1 year,Not Specified,Immune system diseases,People with HIV/AIDS,Program support,Cash grants,Primary care/ healthcare access/ HIV support
"Better Way Foundation, Inc.",Boston College,"640,000",2016,1 year,Not Specified,Information and Communications,American Indians,Program support,Cash grants,Continuing conversations around potential adaption of City Connects model for Native American site in Boston and developing online professional development training modules.
"Rodman Ride for Kids, Inc.",Robert F. Kennedy Children's Action Corps,"610,139",2016,1 year,Not Specified,Youth development,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,Program support,Cash grants,To benefit disadvantaged youths in massachusetts
Barr Foundation,Dudley Street Neighborhood Initiative,"600,000",2016,3 months,Not Specified,Arts and culture,Ethnic and racial groups; Low-income people,Continuing support,Cash grants,"To deepen creative placemaking work, and the planning and implementation of an Arts Innovation District in Upham’s Corner"
Ford Foundation,Massachusetts Institute of Technology,"600,000",2016,3 months,Civic Engagement and Government,Applications software,Students; Researchers,Public engagement and education; Advocacy; Ethics and accountability; Program support,Cash grants,Core support for the Governance Lab to work with civil society and government practitioners to deepen the rigor and impact of citizen engagement and government accountability
Ford Foundation,Tides Center,"600,000",2016,2 months,"Gender, Race and Ethnic Justice",Reproductive health care,People of Asian descent; Immigrants,"Policy, advocacy and systems reform; Program support",Cash grants,Core support for the National Asian Pacific American Women's Forum to advance social justice for Asian and Pacific Islander women and girls and project support for its economic justice program
The Klarman Family Foundation,Year Up,"600,000",2016,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,For unrestricted operating support
The Kresge Foundation,Dudley Street Neighborhood Initiative,"600,000",2016,3 months,Not Specified,Community and economic development,Ethnic and racial groups; Low-income people,Program support,Cash grants,For Fairmount Cultural Corridor Initiative and the integration of arts and culture in its economic development work along the Fairmount Transit Corridor
W.K. Kellogg Foundation,National Economic and Social Rights Initiative,"600,000",2016,2 months,Not Specified,Equal opportunity in education,Children and youth; Ethnic and racial groups; Low-income people; Students,Equal access; Program support,Cash grants,"To promote positive school climates and racial equity by addressing racial bias in discipline, building resource equity and culturally responsive schools and ending school push-out"
Walton Family Foundation,Bellwether Education Partners,"583,729",2016,1 year,Not Specified,Elementary and secondary education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Systems reform,Cash grants,Not Specified
Walton Family Foundation,Teach Plus,"533,000",2016,1 year,Not Specified,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Not Specified,Cash grants,Not Specified
