Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
MacKenzie Scott,Health Leads,"8,000,000",2022,1 year,Not Specified,Antidiscrimination,Ethnic and racial groups; Low-income people,General support,Cash grants,"Mackenzie Scott made an unrestricted grant of $8 million to Health Leads, a charity that connects vulnerable people of color to social services."
Google.org Corporate Giving Program,"Morgan Memorial Goodwill Industries, Inc.","7,000,000",2022,1 year,Not Specified,Job counseling,Ethnic and racial groups,Capacity-building and technical assistance; Faculty and staff development; Equipment,In-kind gifts,"Google.Org is announcing a $14 million reinvestment in the Goodwill Digital Career Accelerator. This includes grants and in-kind support to help Goodwill continue to provide digital training pathways and support job placement for people seeking jobs. Google’s expanded support includes $7 million in Google.Org grants and $7 million in donated Search ads, which will help Goodwill reach more than 200,000 people across the U.S. And Canada with digital skills and career training so they gain economic mobility. The funds support infrastructure development and expansion like tracking systems for hiring and training that will improve the reach and effectiveness of Goodwill’s services at the local level."
Google.org Corporate Giving Program,"Morgan Memorial Goodwill Industries, Inc.","7,000,000",2022,1 year,Not Specified,Job counseling,Ethnic and racial groups,Capacity-building and technical assistance; Faculty and staff development; Equipment,Cash grants,"Google.Org is announcing a $14 million reinvestment in the Goodwill Digital Career Accelerator. This includes grants and in-kind support to help Goodwill continue to provide digital training pathways and support job placement for people seeking jobs. Google’s expanded support includes $7 million in Google.Org grants and $7 million in donated Search ads, which will help Goodwill reach more than 200,000 people across the U.S. And Canada with digital skills and career training so they gain economic mobility. The funds support infrastructure development and expansion like tracking systems for hiring and training that will improve the reach and effectiveness of Goodwill’s services at the local level."
Ballmer Group,Year Up,"3,000,000",2022,1 year,Not Specified,Equal opportunity in education,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Equal access,Cash grants,"Year Up is committed to ensuring equitable access to economic opportunity, education, and justice for all young adults-no matter their background, income, or zip code. During the Year Up program, young adults learn in-demand technical and professional skills and then apply them during a corporate internship, putting them on a path to a meaningful career. Our grant supports Year Up in the Puget Sound region of Washington state to continue transforming the regional economy and to create a truly equitable talent marketplace wherein every young adult has an opportunity to participate and contribute"
"Santander Bank, N.A. Contributions Program",City Year,"2,500,000",2022,3 months,Not Specified,Education services,Ethnic and racial groups,Program support,Cash grants,"Santander Holdings USA announced a $2.5 Million, three-year commitment to its longstanding community partner City Year, an Americorps network member supporting under-resourced public schools in the U.S. This commitment from Santander US includes $1 million of funding for City Year’s Whole School Whole Child program to provide academic tutoring, coaching, afterschool activities and other resources to students in New York, Boston, Miami, Philadelphia and Providence. Santander US—through the Santander Consumer USA Inc. Foundation—also is committing $1.5 Million over three years to support City Year Dallas."
Best Buy Foundation,Clubhouse Network Inc,"2,442,016",2022,1 month,Teens & Tech; Career Readiness,STEM education,Preteens; Adolescents; Economically disadvantaged people,Program support,Cash grants,"TCN is pleased to submit this proposal to support the start-up and ongoing operations of BBTTCS both locally around the U.S. And Canada, and within the larger global Clubhouse community. We also propose to support the 2022 Career Pathways initiative while strengthening and expanding Career Pathways offerings and academic opportunities for BBTTC members."
MacKenzie Scott,Friends of the Children - Boston,"2,400,000",2022,1 year,Not Specified,Adult and child mentoring,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth,General support,Cash grants,"Mackenzie Scott made an unrestricted grant of $2.4 Million to Friends of the Children Boston. Funding will support the organization in doubling the number of youth they will serve and expanding their service footprint regionally, as well as expanding their offerings in mental health and special education support services. Additionally, the funding will allow the chapter to transition to a Two-generation service model to work with youth and support their caregivers, bringing increased stability and support to the entire family. The grant is part of a $44 million gift made to Friends of the Children and 12 of the organization’s chapters."
The Robert Wood Johnson Foundation,Massachusetts Institute of Technology,"2,000,000",2022,2.5 months,Not Specified,University education,Academics,Not Specified,Cash grants,Not Specified
Barr Foundation,Alternatives for Community and Environment,"1,800,000",2022,3 months,Not Specified,Environmental justice,Ethnic and racial groups; Low-income people,General support,Cash grants,To provide general operating support
Barr Foundation,Black Economic Council of Massachusetts Inc,"1,500,000",2022,3 months,Not Specified,Black studies,People of African descent; Economically disadvantaged people,General support,Cash grants,To provide general operating support
Barr Foundation,Boston Impact Initiative Fund,"1,000,000",2022,3 months,Not Specified,Social enterprise,People of Asian descent; People of African descent; People of Latin American descent; Indigenous peoples,General support,Cash grants,To provide general operating support
Barr Foundation,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","750,000",2022,3 months,Not Specified,Community and economic development,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance; Equal access; Program support,Cash grants,To support capacity to monitor policy issues related to racial wealth equity in Greater Boston as well as additional capacity to provide legal infrastructure to organizations within the racial wealth equity ecosystem
Silicon Valley Community Foundation,Teach Plus,"600,000",2022,1 year,Educational Services,Teacher education,Children and youth; Ethnic and racial groups; Low-income people; Students; Teachers,Not Specified,Cash grants,Not Specified
Richard & Susan Smith Family Foundation,Brockton Neighborhood Health Center,"502,500",2022,1 year,Not Specified,Health care access,Children and youth,Program support,Cash grants,Multi-year TEAM UP (Transforming and Expanding Access to Mental Health in Urban Pediatrics) for Children grant which seeks to promote positive child health and well-being through the delivery of evidence-based integrated behavioral health care in pediatric primary care clinics.
Ford Foundation,The Bronx Academy of Arts and Dance,"500,000",2022,2 months,Creativity and Free Expression,Arts and culture,Transgender people; Ethnic and racial groups,General support,Cash grants,"Core support for the Queer Arts Exchange, a national network of arts spaces and artist residency programs for emerging, evolving and established QTPOC (Queer Trans People of Color) artists across the U.S."
Silicon Valley Community Foundation,Year Up,"500,000",2022,1 year,Year Colleges,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
"The Patrick J. McGovern Foundation, Inc.",Greater Boston Food Bank,"500,000",2022,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people,Program support,Cash grants,"To support the Eastern Massachusetts emergency food response by providing over 100M pounds of nutritious food through 600 partner agencies to 190 cities and towns, and accelerate digital transformation."
Carnegie Corporation of New York,Bottom Line,"400,000",2022,2 months,National Program,Community and economic development,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Not Specified,Cash grants,For core support of Bottom Line New York
Barr Foundation,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.","300,000",2022,2 months,Not Specified,Antidiscrimination,Ethnic and racial groups; Low-income people,General support,Cash grants,To provide general operating support
Barr Foundation,Rian Immigrant Center,"300,000",2022,2 months,Not Specified,Immigrant services,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,To provide general operating support
Barr Foundation,Chelsea Collaborative Inc,"250,000",2022,2 months,Not Specified,Human services,Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,To provide general operating support
Ford Foundation,MASS Design Group,"250,000",2022,2 months,Creativity and Free Expression,Architecture,Ethnic and racial groups; People of Asian descent; People with disabilities; People with hearing impairments,General support,Cash grants,"Core support to develop a Deaf Space and Disability Justice Design Lab to center the voices of Deaf and Disabled thought leaders and practitioners to uplift the social, emotional, and cultural experience of Deaf and Disabled communities"
"The Patrick J. McGovern Foundation, Inc.",Breaktime Café,"250,000",2022,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Homeless people; Low-income people; At-risk youth,Not Specified,Cash grants,To support efforts to sustainably address youth homelessness and underemployment through workforce training and financial literacy programming.
"The Patrick J. McGovern Foundation, Inc.",Tech Goes Home (open Air Boston Net Inc),"250,000",2022,1 year,Not Specified,Digital divide,Ethnic and racial groups; Low-income people; Students,Equal access,Cash grants,To provide support in advancing digital equity efforts across the City of Boston.
The Robert Wood Johnson Foundation,University of Massachusetts,"241,137",2022,1 month,Not Specified,University education,Academics,Not Specified,Cash grants,"To build on the foundation laid by the Overdue Reckoning on Racism in Nursing project in order to (1) develop effective and sustainable initiatives to address racism in all nursing environments; (2) build capacity for anti-racism; (3) provide models for sensitive conversations designed to help address racism in nursing; and (4) develop, implement, and evaluate initiatives that will create change on an interpersonal level that leads to systems-level policy change."
Barr Foundation,Bellwether Education Partners,"200,000",2022,1 month,Not Specified,Family services,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Research; Program support,Cash grants,To support case studies and capacity of parent power organizations in education
Barr Foundation,"Mystic River Watershed Association, Inc.","200,000",2022,2 months,Not Specified,Rivers and lakes,Not Specified,Program support,Cash grants,To support the Professionals of Color in the Environment network in Massachusetts
Barr Foundation,Boston Chinatown Neighborhood Center,"200,000",2022,2 months,Not Specified,Human services,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,General support,Cash grants,To provide general operating support
Barr Foundation,Sociedad Latina,"200,000",2022,2 months,Not Specified,Child welfare,Children and youth; Women and girls; People of Latin American descent; Low-income people; Substance abusers,General support,Cash grants,To provide general operating support
Barr Foundation,Inquilinos Boricuas en Accion,"200,000",2022,2 months,Not Specified,Community improvement,People of Latin American descent; Immigrants and migrants; Low-income people,General support,Cash grants,To provide general operating support
The Robert Wood Johnson Foundation,Northeastern Univ,"159,979",2022,2 months,Not Specified,Sororities and fraternities,Not Specified,Not Specified,Cash grants,To strengthen the social- and human-services sectors in their alignment with the public health and healthcare sectors to improve health outcomes and disrupt structural racism.
Barr Foundation,"Neighbor to Neighbor Massachusetts Education Fund, Inc.","150,000",2022,2 months,Not Specified,Community organizing,Ethnic and racial groups; Low-income people,General support,Cash grants,To provide general operating support
Barr Foundation,Centro Presente Inc,"150,000",2022,2 months,Not Specified,Immigrant services,People of Latin American descent; Immigrants,General support,Cash grants,To provide general operating support
Richard & Susan Smith Family Foundation,Bellwether Education Partners,"150,000",2022,1 year,Not Specified,Higher education,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Systems reform,Cash grants,Grant to provide Early College planning and launch support to the University of Massachusetts Boston.
"The Patrick J. McGovern Foundation, Inc.",Museum of Science,"150,000",2022,1 year,Not Specified,Information and Communications,Ethnic and racial groups,Data and measurement systems; Program support,Cash grants,"To support the Center for Data Science, AI & Public Learning."
"The Patrick J. McGovern Foundation, Inc.","Victory Programs, Inc.","150,000",2022,1 year,Not Specified,Substance abuse treatment,Ethnic and racial groups; Homeless people; Chronically ill people; Substance abusers,Program support,Cash grants,"To provide support for programs addressing the intersectional challenges of homelessness, substance use, and chronic health conditions."
Point32Health Foundation,The Boston Foundation,"125,000",2022,1 year,Not Specified,Ethnic and racial minority rights,People of Asian descent; Pacific Islanders,"Policy, advocacy and systems reform",Cash grants,"Point32health Foundation announced grants totaling $1 million to advance social and racial equity. The funds will support nonprofit organizations that include diverse voices and perspectives, eliminate systemic barriers, and advocate for stronger communities. $125,000 Was awarded to the Asian Community Fund, a permanent resource designed to develop, strengthen and support Asian American and Pacific Islander (AAPI) community power in Massachusetts."
