Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
The Boston Foundation,Boston,MA,United States,$84.4 Million,"3,811",
Fidelity Investments Charitable Gift Fund,Boston,MA,United States,$70.6 Million,"5,432",
Walton Family Foundation,Bentonville,AR,United States,$69.6 Million,52,
Ford Foundation,New York City,NY,United States,$40.6 Million,78,
"State Street Foundation, Inc.",Boston,MA,United States,$32.6 Million,437,
"Combined Jewish Philanthropies of Greater Boston, Inc.",Boston,MA,United States,$26.6 Million,147,
One8 Foundation,Boston,MA,United States,$26.5 Million,93,
"The Liberty Mutual Foundation, Inc.",Boston,MA,United States,$25.5 Million,"1,095",
Yawkey Foundation Ii,Dedham,MA,United States,$24.9 Million,302,
Richard & Susan Smith Family Foundation,Newton,MA,United States,$23.7 Million,182,
Blue Meridian Partners Inc.,New York City,NY,United States,$22 Million,3,
"The Hyams Foundation, Inc.",Boston,MA,United States,$21.2 Million,449,
The Klarman Family Foundation,Boston,MA,United States,$20.7 Million,213,
United Way of Massachusetts Bay and Merrimack Valley,Boston,MA,United States,$19.6 Million,258,
W.K. Kellogg Foundation,Battle Creek,MI,United States,$19.4 Million,38,
The Andrew W. Mellon Foundation,New York City,NY,United States,$16.2 Million,25,
Nellie Mae Education Foundation,Quincy,MA,United States,$16.1 Million,236,
"Mass General Brigham, Inc.",Boston,MA,United States,$15.2 Million,120,
The Edna Mcconnell Clark Foundation,New York City,NY,United States,$15.1 Million,16,
"Bank of America Charitable Foundation, Inc.",Charlotte,NC,United States,$14.5 Million,681,
Google.Org Corporate Giving Program,Mountain View,CA,United States,$14 Million,2,
Bill & Melinda Gates Foundation,Seattle,WA,United States,$13.9 Million,20,
Silicon Valley Community Foundation,Mountain View,CA,United States,$13.8 Million,217,
Charles Hayden Foundation,New York City,NY,United States,$13.8 Million,157,
"Beth Israel Deaconess Medical Center, Inc.",Boston,MA,United States,$13 Million,27,
"Rodman Ride for Kids, Inc.",Foxborough,MA,United States,$12.4 Million,36,
Amelia Peabody Foundation,Wellesley,MA,United States,$12.3 Million,311,
The Kresge Foundation,Troy,MI,United States,$11.2 Million,35,
Massachusetts Service Alliance,Boston,MA,United States,$10.8 Million,31,
Community Care Cooperative Inc,Boston,MA,United States,$10.4 Million,20,
Mackenzie Scott,Seattle,WA,United States,$10.4 Million,2,
The Jpb Foundation,New York City,NY,United States,$10.3 Million,4,
"Strategic Grant Partners, Inc.",Boston,MA,United States,$10.2 Million,32,
"Cummings Foundation, Inc.",Woburn,MA,United States,$10.1 Million,4,
Startsmall Llc,San Francisco,CA,United States,$10 Million,1,
Shelby Cullom Davis Charitable Fund,Wilmington,DE,United States,$9.9 Million,1,
Lloyd G. Balfour Foundation,Boston,MA,United States,$9.4 Million,153,
The Reeder Foundation,Boston,MA,United States,$8.7 Million,33,
National Philanthropic Trust,Jenkintown,PA,United States,$8 Million,57,
Remondi Family Foundation,Wilmington,DE,United States,$8 Million,12,
The Robert Wood Johnson Foundation,Princeton,NJ,United States,$8 Million,25,
Highland Street Foundation,Newton,MA,United States,$7.9 Million,377,
Goldman Sachs Philanthropy Fund,Latham,NY,United States,$7.8 Million,5,
"Oneworld Boston, Inc.",Woburn,MA,United States,$7.7 Million,226,
Gordon and Betty Moore Foundation,Palo Alto,CA,United States,$7.6 Million,2,
New York Life Foundation,New York City,NY,United States,$7.2 Million,21,
Doris Duke Charitable Foundation,New York City,NY,United States,$7.1 Million,26,
The Jpmorgan Chase Foundation,New York City,NY,United States,$7 Million,76,
